epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
12,7899,,,,0.53125,,,
12,7949,,,,0.46875,,,
12,7999,,,,0.375,,,
12,8049,,,,0.515625,,,
12,8099,,,,0.4375,,,
12,8124,,,,,,0.42239999771118164,2.2238829135894775
12,8124,,,0.46779999136924744,,1.9320340156555176,,
13,8149,,,,0.5625,,,
13,8199,,,,0.4375,,,
13,8249,,,,0.515625,,,
13,8299,,,,0.578125,,,
13,8349,,,,0.453125,,,
13,8399,,,,0.46875,,,
13,8449,,,,0.4375,,,
13,8499,,,,0.484375,,,
13,8549,,,,0.59375,,,
13,8599,,,,0.453125,,,
13,8649,,,,0.53125,,,
13,8699,,,,0.453125,,,
13,8749,,,,0.5,,,
13,8749,,,,,,0.41780000925064087,2.246303081512451
13,8749,,,0.4866499900817871,,1.8559935092926025,,
14,8799,,,,0.5,,,
14,8849,,,,0.5625,,,
14,8899,,,,0.546875,,,
14,8949,,,,0.46875,,,
14,8999,,,,0.5625,,,
14,9049,,,,0.390625,,,
14,9099,,,,0.578125,,,
14,9149,,,,0.515625,,,
14,9199,,,,0.5625,,,
14,9249,,,,0.515625,,,
14,9299,,,,0.5,,,
14,9349,,,,0.390625,,,
14,9374,,,,,,0.4189999997615814,2.2288506031036377
14,9374,,,0.4997749924659729,,1.7892804145812988,,
15,9399,,,,0.53125,,,
15,9449,,,,0.40625,,,
15,9499,,,,0.640625,,,
15,9549,,,,0.46875,,,
15,9599,,,,0.46875,,,
15,9649,,,,0.546875,,,
15,9699,,,,0.6875,,,
15,9749,,,,0.390625,,,
15,9799,,,,0.625,,,
15,9849,,,,0.5,,,
15,9899,,,,0.40625,,,
15,9949,,,,0.5625,,,
15,9999,,,,0.53125,,,
15,9999,,,,,,0.421099990606308,2.26147723197937
15,9999,,,0.5160999894142151,,1.731997013092041,,
16,10049,,,,0.5,,,
16,10099,,,,0.5,,,
16,10149,,,,0.578125,,,
16,10199,,,,0.546875,,,
16,10249,,,,0.53125,,,
16,10299,,,,0.5,,,
16,10349,,,,0.5,,,
16,10399,,,,0.609375,,,
16,10449,,,,0.671875,,,
16,10499,,,,0.5625,,,
16,10549,,,,0.53125,,,
16,10599,,,,0.578125,,,
16,10624,,,,,,0.42590001225471497,2.2649946212768555
16,10624,,,0.5301499962806702,,1.6684298515319824,,
17,10649,,,,0.59375,,,
17,10699,,,,0.5625,,,
17,10749,,,,0.453125,,,
17,10799,,,,0.5625,,,
17,10849,,,,0.625,,,
17,10899,,,,0.5625,,,
17,10949,,,,0.5,,,
17,10999,,,,0.484375,,,
17,11049,,,,0.5,,,
17,11099,,,,0.59375,,,
17,11149,,,,0.4375,,,
17,11199,,,,0.46875,,,
17,11249,,,,0.453125,,,
17,11249,,,,,,0.4262000024318695,2.263725757598877
17,11249,,,0.5378999710083008,,1.6202799081802368,,
18,11299,,,,0.640625,,,
18,11349,,,,0.59375,,,
18,11399,,,,0.53125,,,
18,11449,,,,0.484375,,,
18,11499,,,,0.65625,,,
18,11549,,,,0.484375,,,
18,11599,,,,0.59375,,,
18,11649,,,,0.578125,,,
18,11699,,,,0.578125,,,
18,11749,,,,0.59375,,,
18,11799,,,,0.640625,,,
18,11849,,,,0.578125,,,
