epoch,step,test_loss,test_r2,train_loss,train_r2_epoch,train_r2_step,valid_loss,valid_r2
0,49,,,,,0.395885705947876,,
0,66,,,,,,0.6825326085090637,0.35224324464797974
0,66,,,0.5324492454528809,0.4391307234764099,,,
1,99,,,,,0.3311430811882019,,
1,133,,,,,,0.6504568457603455,0.38268470764160156
1,133,,,0.4682003855705261,0.5061747431755066,,,
2,149,,,,,0.5415961146354675,,
2,199,,,,,0.6334999799728394,,
2,200,,,,,,0.6455168724060059,0.38737303018569946
2,200,,,0.4529497027397156,0.5223268270492554,,,
3,249,,,,,0.5165256261825562,,
3,267,,,,,,0.6419416069984436,0.39076608419418335
3,267,,,0.4483266770839691,0.5298545956611633,,,
4,299,,,,,0.48851442337036133,,
4,334,,,,,,0.636146605014801,0.39626580476760864
4,334,,,0.44657102227211,0.5301569700241089,,,
5,349,,,,,0.5825265645980835,,
5,399,,,,,0.6643095016479492,,
5,401,,,,,,0.6335562467575073,0.39872419834136963
5,401,,,0.441909521818161,0.5358291268348694,,,
6,449,,,,,0.5975456237792969,,
6,468,,,,,,0.6333852410316467,0.398886501789093
6,468,,,0.4389592707157135,0.5317955613136292,,,
7,499,,,,,0.4331989884376526,,
7,535,,,,,,0.6302022933959961,0.4019072651863098
7,535,,,0.4369453489780426,0.5400294661521912,,,
8,549,,,,,0.5690380334854126,,
8,599,,,,,0.5872191190719604,,
8,602,,,,,,0.6312116384506226,0.4009493589401245
8,602,,,0.4429066479206085,0.5397822260856628,,,
9,649,,,,,0.5682843923568726,,
9,669,,,,,,0.6282698512077332,0.4037412405014038
9,669,,,0.4381862282752991,0.5405447483062744,,,
10,699,,,,,0.17652148008346558,,
10,736,,,,,,0.6344026327133179,0.3979209065437317
10,736,,,0.43782317638397217,0.5367678999900818,,,
11,749,,,,,0.6151944398880005,,
11,799,,,,,0.5275204181671143,,
11,803,,,,,,0.6277632713317871,0.4042220115661621
11,803,,,0.4345317482948303,0.5348573923110962,,,
12,849,,,,,0.7078441381454468,,
12,870,,,,,,0.6259375810623169,0.40595465898513794
12,870,,,0.4344994127750397,0.5503009557723999,,,
13,899,,,,,0.5518848896026611,,
13,937,,,,,,0.6269391179084778,0.40500420331954956
13,937,,,0.43314650654792786,0.5415498614311218,,,
14,949,,,,,0.5611210465431213,,
14,999,,,,,0.6255847215652466,,
14,1004,,,,,,0.6321054100990295,0.4001011252403259
14,1004,,,0.4366540014743805,0.5422446727752686,,,
15,1049,,,,,0.5063503384590149,,
15,1071,,,,,,0.6244375109672546,0.40737831592559814
15,1071,,,0.4310244619846344,0.545342743396759,,,
16,1099,,,,,0.63991379737854,,
16,1138,,,,,,0.6242746114730835,0.4075329303741455
16,1138,,,0.4339400827884674,0.5370292067527771,,,
17,1149,,,,,0.5615023374557495,,
17,1199,,,,,0.560240626335144,,
17,1205,,,,,,0.6292093992233276,0.40284955501556396
17,1205,,,0.4314221441745758,0.5440353751182556,,,
18,1249,,,,,0.4196488857269287,,
18,1272,,,,,,0.6250759959220886,0.4067723751068115
18,1272,,,0.4300217926502228,0.5416645407676697,,,
19,1299,,,,,0.5509563684463501,,
19,1339,,,,,,0.6269563436508179,0.40498781204223633
19,1339,,,0.4334450662136078,0.5434803366661072,,,
20,1349,,,,,0.5247484445571899,,
20,1399,,,,,0.6030439138412476,,
20,1406,,,,,,0.6223024129867554,0.4094046950340271
20,1406,,,0.43450045585632324,0.5413088798522949,,,
21,1449,,,,,0.6311491131782532,,
21,1473,,,,,,0.6224110126495361,0.4093015789985657
21,1473,,,0.42567500472068787,0.5515943169593811,,,
22,1499,,,,,0.5025100708007812,,
22,1540,,,,,,0.6251567006111145,0.40669578313827515
22,1540,,,0.42893558740615845,0.5479320287704468,,,
23,1549,,,,,0.5016971826553345,,
23,1599,,,,,0.5169250965118408,,
23,1607,,,,,,0.6257790923118591,0.406105101108551
23,1607,,,0.4272605776786804,0.5464215278625488,,,
24,1649,,,,,0.5931448936462402,,
24,1674,,,,,,0.6216588616371155,0.41001540422439575
24,1674,,,0.4217730462551117,0.5532267093658447,,,
25,1699,,,,,0.4830546975135803,,
25,1741,,,,,,0.6263667345046997,0.40554744005203247
25,1741,,,0.4271877110004425,0.5487039685249329,,,
26,1749,,,,,0.5486404299736023,,
26,1799,,,,,0.601131021976471,,
26,1808,,,,,,0.6222569346427917,0.4094477891921997
26,1808,,,0.4263010621070862,0.5472763776779175,,,
27,1849,,,,,0.5235377550125122,,
27,1875,,,,,,0.6222375631332397,0.4094662070274353
27,1875,,,0.42559146881103516,0.5497913956642151,,,
28,1899,,,,,0.6676329970359802,,
28,1942,,,,,,0.6265242099761963,0.4053979516029358
28,1942,,,0.42258045077323914,0.5484634041786194,,,
29,1949,,,,,0.480243980884552,,
29,1999,,,,,0.5704896450042725,,
29,2009,,,,,,0.6242440342903137,0.40756189823150635
29,2009,,,0.42764633893966675,0.5541821122169495,,,
30,2049,,,,,0.6299009323120117,,
30,2076,,,,,,0.6259644031524658,0.40592920780181885
30,2076,,,0.42590680718421936,0.5486900210380554,,,
31,2099,,,,,0.6354057788848877,,
31,2143,,,,,,0.6294617652893066,0.40261006355285645
31,2143,,,0.42573076486587524,0.5521543025970459,,,
32,2149,,,,,0.5259654521942139,,
32,2199,,,,,0.4557734727859497,,
32,2210,,,,,,0.6229910254478455,0.40875113010406494
32,2210,,,0.4278833568096161,0.5421465635299683,,,
33,2249,,,,,0.45276516675949097,,
33,2277,,,,,,0.6222348809242249,0.40946877002716064
33,2277,,,0.42514196038246155,0.5505852699279785,,,
34,2299,,,,,0.474368691444397,,
34,2344,,,,,,0.6263847947120667,0.40553027391433716
34,2344,,,0.4213178753852844,0.5506710410118103,,,
35,2349,,,,,0.6326638460159302,,
35,2399,,,,,0.5269545316696167,,
35,2411,,,,,,0.6190298795700073,0.4125104546546936
35,2411,,,0.4246950149536133,0.5512030124664307,,,
36,2449,,,,,0.5269478559494019,,
36,2478,,,,,,0.6258034706115723,0.4060819745063782
36,2478,,,0.4196995794773102,0.5556418895721436,,,
37,2499,,,,,0.5404030680656433,,
37,2545,,,,,,0.6189518570899963,0.41258448362350464
37,2545,,,0.42332199215888977,0.5528916716575623,,,
38,2549,,,,,0.5812669992446899,,
38,2599,,,,,0.6009746193885803,,
